AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
District of Columbia Public Schools,2024/05/30 04:00:00+00,1437.12,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546951
District of Columbia Public Schools,2024/05/30 04:00:00+00,1015,STOCKBRIDGE CONSULTING,DC,ELECTRONIC SALES,2024/06/11 15:15:49+00,546952
District of Columbia Public Schools,2024/05/30 04:00:00+00,350,STOCKBRIDGE CONSULTING,DC,ELECTRONIC SALES,2024/06/11 15:15:49+00,546953
District of Columbia Public Schools,2024/05/30 04:00:00+00,-14.63,INDEED 91911900,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,546954
District of Columbia Public Schools,2024/05/30 04:00:00+00,456.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,546960
District of Columbia Public Schools,2024/05/30 04:00:00+00,456.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,546961
District of Columbia Public Schools,2024/05/30 04:00:00+00,981.52,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546962
District of Columbia Public Schools,2024/05/30 04:00:00+00,1980,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546969
District of Columbia Public Schools,2024/05/30 04:00:00+00,69.96,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546971
District of Columbia Public Schools,2024/05/30 04:00:00+00,368.34,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546972
District of Columbia Public Schools,2024/05/30 04:00:00+00,164.37,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546973
District of Columbia Public Schools,2024/05/30 04:00:00+00,491.84,MINUTEMAN PRESS WASHIN,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,547100
District of Columbia Public Schools,2024/05/30 04:00:00+00,102.82,MINUTEMAN PRESS -WASHI,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,547101
District of Columbia Public Schools,2024/05/30 04:00:00+00,397.52,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547106
District of Columbia Public Schools,2024/05/30 04:00:00+00,218.45,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547107
District of Columbia Public Schools,2024/05/30 04:00:00+00,379.85,SQ *PIEDMONT LANDSCAPE,NC,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,547110
District of Columbia Public Schools,2024/05/30 04:00:00+00,1520.74,CLCKPAY*ROSCOE PROPERT,TX,REAL ESTATE AGENTS AND MANAGERS-RENTALS,2024/06/11 15:15:49+00,547111
Office of the Attorney General,2024/05/30 04:00:00+00,1128.4,SQ *WILSON-EPES PRINTI,DC,QUICK COPY REPRODUCTION AND BLUEPRINTING SERVICES,2024/06/11 15:15:49+00,547116
District of Columbia Public Schools,2024/05/30 04:00:00+00,1867.51,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,547117
Fire & Emergency Medical Services,2024/05/30 04:00:00+00,169.99,AMAZON.COM*VQ9MR4XE3,WA,BOOK STORES,2024/06/11 15:15:49+00,547118
DC Public Library,2024/05/30 04:00:00+00,90.83,CHICAGO BOOKS & JOURNA,IL,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,547120
DC Public Library,2024/05/30 04:00:00+00,-1000,PAYPAL,CA,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,547121
Office of Contracting & Procurement,2024/05/30 04:00:00+00,2450,NEW HAVEN MOVING EQUIP,VA,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547124
District of Columbia Public Schools,2024/05/30 04:00:00+00,-23.78,BANNERS ON THE CHEAP,TX,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,547270
District of Columbia Public Schools,2024/05/30 04:00:00+00,356,NCTM REG 3,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547271
Fire & Emergency Medical Services,2024/05/30 04:00:00+00,-46.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547273
District of Columbia Public Schools,2024/05/30 04:00:00+00,3124.44,BARON TOURS,MD,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,547278
District of Columbia Public Schools,2024/05/30 04:00:00+00,219,NAESP,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547279
District of Columbia Public Schools,2024/05/30 04:00:00+00,259,NAESP,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547280
District of Columbia Public Schools,2024/05/30 04:00:00+00,100,WWW.APA.ORG,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547281
Fire & Emergency Medical Services,2024/05/30 04:00:00+00,2975,SCCE/HCCA/CCB,MN,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547282
District of Columbia Public Schools,2024/05/29 04:00:00+00,59.85,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544886
District of Columbia Public Schools,2024/05/29 04:00:00+00,41.64,AMAZON RET* 112-972228,WA,VARIETY STORES,2024/06/11 15:15:49+00,544891
Office of the Attorney General,2024/05/29 04:00:00+00,1410.54,WHOLEFOODS.COM,TX,GROCERY STORES  SUPERMARKETS,2024/06/11 15:15:49+00,544893
Office of the Attorney General,2024/05/29 04:00:00+00,329.99,WHOLEFOODS.COM,TX,GROCERY STORES  SUPERMARKETS,2024/06/11 15:15:49+00,544894
Office of the Attorney General,2024/05/29 04:00:00+00,14.99,WHOLEFOODS.COM,TX,GROCERY STORES  SUPERMARKETS,2024/06/11 15:15:49+00,544895
District of Columbia Public Schools,2024/05/29 04:00:00+00,-87.45,SP LUXELUTION,WI,ELECTRONIC SALES,2024/06/11 15:15:49+00,544896
District of Columbia Public Schools,2024/05/29 04:00:00+00,464.32,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544898
Office of the Chief Financial Officer,2024/05/29 04:00:00+00,2500,NASACT,KY,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544903
District of Columbia Public Schools,2024/05/29 04:00:00+00,2197,CAPSTONE,MN,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,544915
Department of Housing & Community Development,2024/05/29 04:00:00+00,1130,PITNEY BOWES PI,CT,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545028
District of Columbia Public Schools,2024/05/29 04:00:00+00,143.09,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545036
District of Columbia Public Schools,2024/05/29 04:00:00+00,143.09,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545037
District of Columbia Public Schools,2024/05/29 04:00:00+00,629.88,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,545052
District of Columbia Public Schools,2024/05/29 04:00:00+00,216.2,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,545053
District of Columbia Public Schools,2024/05/29 04:00:00+00,97.48,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,545054
District of Columbia Public Schools,2024/05/29 04:00:00+00,381.58,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,545055
District of Columbia Public Schools,2024/05/29 04:00:00+00,666.11,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,545056
District Department of the Environment,2024/05/29 04:00:00+00,367.03,HTL*THEORLEANSHOTE,TX,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,545061
District Department of the Environment,2024/05/29 04:00:00+00,802.45,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545062
District Department of the Environment,2024/05/29 04:00:00+00,802.45,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545063
District Department of the Environment,2024/05/29 04:00:00+00,8.99,RESERVATIONS CENTER,GA,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,545064
Office of the Chief Technology Officer,2024/05/29 04:00:00+00,643.14,"IN *NJ3Q TECHNOLOGY, L",DC,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,545200
Office of the Attorney General,2024/05/29 04:00:00+00,2625,IN *SOLES OF IMAGINATI,CA,SCHOOLS  ELEMENTARY AND SECONDARY,2024/06/11 15:15:49+00,545201
District of Columbia Public Schools,2024/05/29 04:00:00+00,89.96,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545203
District of Columbia Public Schools,2024/05/29 04:00:00+00,69.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545204
District of Columbia Public Schools,2024/05/29 04:00:00+00,104.38,AMAZON MAR* 112-775075,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545216
Office of the Mayor,2024/05/29 04:00:00+00,10.64,USPS PO 1049130205,DC,POSTAL SERVICES-GOVERNMENT ONLY,2024/06/11 15:15:49+00,545217
Department of Housing & Community Development,2024/05/29 04:00:00+00,21.19,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545223
District of Columbia Public Schools,2024/05/29 04:00:00+00,11.15,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545352
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,5.48,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545355
District of Columbia Public Schools,2024/05/29 04:00:00+00,57.88,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545359
District of Columbia Public Schools,2024/05/29 04:00:00+00,57.88,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545360
District of Columbia Public Schools,2024/05/29 04:00:00+00,520.3,TROPHY DEPOT,NC,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545361
District of Columbia Public Schools,2024/05/29 04:00:00+00,2373.33,SQ *HEP CONSTRUCTION,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545366
District of Columbia Public Schools,2024/05/29 04:00:00+00,1440,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545367
District of Columbia Public Schools,2024/05/29 04:00:00+00,130.32,AMAZON.COM*CE9CK4UU3,WA,BOOK STORES,2024/06/11 15:15:49+00,545370
District of Columbia Public Schools,2024/05/29 04:00:00+00,42.46,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545372
District of Columbia Public Schools,2024/05/29 04:00:00+00,100.81,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545373
District of Columbia Public Schools,2024/05/29 04:00:00+00,40,JETBLUE   27,NY,JETBLUE AIRWAYS (JETBLUE),2024/06/11 15:15:49+00,545376
District of Columbia Public Schools,2024/05/29 04:00:00+00,40,JETBLUE   27,NY,JETBLUE AIRWAYS (JETBLUE),2024/06/11 15:15:49+00,545377
District of Columbia Public Schools,2024/05/29 04:00:00+00,237.2,JETBLUE   27,NY,JETBLUE AIRWAYS (JETBLUE),2024/06/11 15:15:49+00,545508
District of Columbia Public Schools,2024/05/29 04:00:00+00,111,OG MEDIA,VA,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,545515
District of Columbia Public Schools,2024/05/29 04:00:00+00,77,AMERICAN RED CROSS,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545516
District of Columbia Public Schools,2024/05/29 04:00:00+00,57.25,AMAZON.COM*6H2ZR9VH3,WA,BOOK STORES,2024/06/11 15:15:49+00,545517
Department of Health,2024/05/29 04:00:00+00,353.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545518
Department of Health,2024/05/29 04:00:00+00,686.36,LA MANSION AND MOKARA,TX,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545520
District of Columbia Public Schools,2024/05/29 04:00:00+00,124.2,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545521
District of Columbia Public Schools,2024/05/29 04:00:00+00,2400,SQ *MAKAIROS LLC,MD,HEALTH PRACTITIONERS  MEDICAL SRVCS-NOT ELSEWHERE,2024/06/11 15:15:49+00,545522
"Department of Insurance, Securities & Banking",2024/05/29 04:00:00+00,4998.01,NETWORKING FOR FUTURE,DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545523
District of Columbia Public Schools,2024/05/29 04:00:00+00,850,MAD SCIENCE OF WASHING,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545528
District of Columbia Public Schools,2024/05/29 04:00:00+00,850,MAD SCIENCE OF WASHING,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545529
District of Columbia Public Schools,2024/05/29 04:00:00+00,619.5,OXBORROW TRUCKING,NV,LAWN AND GARDEN SUPPLY STORES,2024/06/11 15:15:49+00,545687
District of Columbia Public Schools,2024/05/29 04:00:00+00,24.45,AMAZON MAR* 113-630667,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545692
District Department of the Environment,2024/05/29 04:00:00+00,51.99,"IN *SUPRETECH, INC.",CA,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,545697
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,1156.31,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545698
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,353.75,SIGNS BY TOMORROW,VA,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545699
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,1272.14,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,545700
District of Columbia Public Schools,2024/05/29 04:00:00+00,4565.6,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545703
District of Columbia Public Schools,2024/05/29 04:00:00+00,591.75,"SCHOLASTIC, INC.",MO,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545704
District of Columbia Public Schools,2024/05/29 04:00:00+00,507.48,GREAT WOLF LODGE PERRY,MD,GREAT WOLF,2024/06/11 15:15:49+00,545707
District of Columbia Public Schools,2024/05/29 04:00:00+00,2273.45,GREAT WOLF LODGE PERRY,MD,GREAT WOLF,2024/06/11 15:15:49+00,545708
District of Columbia Public Schools,2024/05/29 04:00:00+00,-2273.45,GREAT WOLF LODGE PERRY,MD,GREAT WOLF,2024/06/11 15:15:49+00,545709
District of Columbia Public Schools,2024/05/29 04:00:00+00,229,AOTA,MD,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545871
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,1424,ES FLAGPOLES,MD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545872
Department of Health,2024/05/29 04:00:00+00,537.95,DELTA,GA,DELTA,2024/06/11 15:15:49+00,545873
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,446.41,CERRA,ON,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545876
District of Columbia Public Schools,2024/05/29 04:00:00+00,799.99,PAYPAL,NY,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545878
District of Columbia Public Schools,2024/05/29 04:00:00+00,900,TAFT SCHOOL TEC  CVENT,CT,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,545879
Department of Motor Vehicles,2024/05/29 04:00:00+00,56.75,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545887
Department of Motor Vehicles,2024/05/29 04:00:00+00,199.65,GRAINGER,IL,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545888
Department of Motor Vehicles,2024/05/29 04:00:00+00,119.62,GRAINGER,IL,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545889
District of Columbia Public Schools,2024/05/29 04:00:00+00,445,NCTM REG 3,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545890
District of Columbia Public Schools,2024/05/29 04:00:00+00,3724.5,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546182
